L, R, motor_r, motor_l
126, 184, -349, 229
126, 184, -349, 229
126, 204, -350, 230
126, 204, -351, 230
126, 204, -352, 231
126, 326, -352, 231
126, 326, -353, 231
126, 326, -354, 232
126, 326, -355, 233
126, 326, -356, 233
126, 95, -356, 233
126, 95, -357, 234
126, 95, -358, 234
126, 95, -358, 235
126, 95, -359, 235
126, 95, -360, 236
120, 95, -361, 236
120, 95, -361, 236
120, 95, -362, 237
120, 139, -362, 237
120, 139, -363, 238
120, 139, -364, 238
120, 139, -365, 239
992, 139, -366, 239
992, 139, -366, 240
992, 139, -367, 240
992, 139, -368, 240
992, 139, -368, 241
992, 139, -369, 241
992, 139, -370, 242
992, 139, -370, 242
992, 139, -371, 242
992, 139, -372, 243
992, 139, -372, 243
992, 139, -373, 244
992, 139, -373, 244
992, 139, -374, 244
992, 902, -375, 245
992, 902, -375, 245
992, 902, -376, 246
992, 902, -376, 246
992, 902, -377, 247
992, 902, -378, 247
992, 902, -378, 247
992, 902, -379, 248
992, 902, -380, 248
992, 902, -380, 249
992, 902, -381, 249
992, 902, -382, 249
992, 902, -382, 250
992, 902, -383, 250
992, 902, -384, 251
330, 902, -384, 251
330, 902, -385, 251
330, 902, -386, 252
330, 902, -386, 252
330, 902, -387, 253
330, 902, -387, 253
330, 902, -388, 254
330, 902, -389, 254
330, 902, -390, 255
330, 902, -390, 255
330, 902, -391, 255
330, 902, -392, 256
330, 205, -392, 256
330, 205, -393, 256
330, 205, -394, 257
330, 205, -394, 257
330, 205, -395, 258
330, 205, -396, 258
330, 205, -396, 258
330, 205, -397, 259
330, 205, -398, 259
330, 205, -398, 259
1846, 205, -399, 260
1846, 205, -400, 260
1846, 1023, -400, 261
1846, 1023, -401, 261
1846, 1023, -401, 261
1846, 1023, -402, 262
1846, 1046, -403, 262
1846, 1046, -404, 263
1060, 1046, -404, 263
1060, 1046, -405, 263
1060, 1020, -405, 264
1038, 1020, -406, 264
1038, 1020, -407, 264
1038, 1008, -408, 265
1038, 1008, -408, 265
1072, 1008, -409, 266
1072, 1012, -410, 266
1072, 1012, -410, 266
1072, 1012, -411, 267
1273, 786, -412, 267
1273, 786, -412, 268
1273, 786, -413, 268
1273, 786, -413, 268
1273, 786, -414, 268
1273, 786, -415, 269
1273, 786, -415, 269
1273, 786, -416, 270
1273, 786, -417, 270
1273, 786, -417, 270
1022, 786, -418, 271
1022, 786, -419, 271
1022, 786, -419, 271
1022, 786, -420, 271
1022, 786, -420, 272
1022, 786, -421, 272
1022, 786, -422, 273
1022, 786, -422, 273
1022, 786, -423, 273
1022, 786, -424, 274
1022, 786, -425, 274
1022, 786, -427, 275
1022, 786, -428, 276
1022, 786, -428, 276
1022, 786, -429, 276
903, 340, -430, 277
903, 340, -431, 277
903, 340, -432, 278
903, 340, -433, 278
903, 340, -433, 278
903, 340, -434, 279
903, 340, -435, 279
903, 340, -435, 280
903, 340, -436, 280
903, 340, -436, 280
903, 340, -437, 280
1031, 500, -438, 281
1031, 500, -438, 281
1031, 500, -439, 282
1031, 500, -440, 282
1031, 500, -440, 282
1031, 710, -441, 282
1031, 710, -442, 283
1031, 710, -442, 283
1031, 710, -443, 283
1031, 710, -443, 284
1031, 710, -444, 284
847, 710, -445, 284
847, 710, -445, 285
847, 710, -446, 285
847, 710, -447, 285
847, 710, -448, 286
847, 710, -448, 286
847, 710, -449, 286
847, 710, -449, 286
847, 710, -450, 287
847, 710, -450, 287
847, 710, -451, 287
847, 710, -452, 288
847, 710, -452, 288
847, 710, -453, 288
847, 710, -454, 288
847, 710, -454, 289
847, 554, -455, 289
847, 554, -455, 289
847, 554, -456, 290
483, 554, -457, 290
483, 554, -457, 290
483, 554, -458, 290
483, 554, -459, 291
670, 554, -460, 291
670, 554, -460, 291
730, 554, -461, 292
730, 554, -462, 292
730, 554, -462, 292
730, 554, -463, 292
661, 554, -464, 293
661, 554, -464, 293
661, 554, -465, 293
661, 554, -466, 293
661, 713, -466, 294
661, 713, -467, 294
661, 728, -468, 294
661, 728, -468, 294
661, 728, -469, 295
661, 728, -470, 295
662, 712, -471, 296
658, 704, -472, 296
658, 704, -473, 297
649, 704, -474, 297
649, 704, -475, 297
649, 704, -476, 298
649, 705, -476, 298
649, 705, -477, 299
649, 705, -478, 299
649, 704, -479, 299
649, 704, -480, 300
649, 704, -480, 300
649, 680, -481, 300
649, 680, -482, 301
649, 680, -483, 301
649, 625, -484, 302
649, 625, -484, 302
649, 718, -485, 302
649, 718, -486, 303
649, 718, -487, 303
649, 710, -488, 304
